141 | 21984318
143 |
145 | 21984318
428 | 10643740
429 |
430 |
431 |
432 |
433 | 12991237
434 | 874889
435 | 1709839
436 | 836920
437 |
438 | 17110776
439 | 17110776
440 | 17110776
441 | 17110776
442 | 17008376
443 | 17008376
444 | 17008376
445 | 9053795
446 | 9053795
447 | 9053795
448 | 9053795
449 |
450 |
451 |
453 | 17158566
454 | 17008376
455 |
457 | 17158566
458 | 8815919
459 |
460 |
461 |
462 |
463 | 1661326
464 | 1661326
465 | 8815919
466 | 2850029
467 | 2174274
468 | 1850840
469 |
470 | 12991237
471 | 12991237
472 | 12991237
473 | 19431309
474 |
475 |
476 |
477 | 6305437
478 | 12644446
481 | 17008376
482 | 19281836
484 | 267326
485 | 267326
486 | 19584944
487 | 19584944
488 | 19584944
489 | 19584944
490 | 14766974
491 | 14766974
492 |
493 |
494 | 12932323
495 | 21721763
496 | 21721763
497 | 1661326
498 | 9405551
499 | 2578676
500 | 1252578
501 | 2996634
502 | 7948220
503 | 7948220
504 | 7948220
505 | 15830162
506 | 15830162
507 | 15830162
508 | 15830162
509 | 6391804
510 | 18635251
511 | 18635251
512 | 18635251
513 | 18635251
514 | 18635251
515 | 18635251
516 | 18635251
517 | 18635251
518 | 18635251
519 | 18635251
520 | 21099125
521 | 18635251
522 | 21099125
523 | 18635251
524 | 21099125
526 | 2996634
528 | 2996634
529 | 2996634
530 | 2996634
531 | 2996634
532 | 2996634
535 | 11923461
536 | 1912008
537 | 17912360
538 | 17912360
539 | 17912360
540 | 2996634
541 | 2996634
542 | 2996634
543 | 2996634
544 |
545 | 15783604
546 | 15783604
547 | 15783604
548 | 15783604
549 | 7260316
550 | 7260316
551 | 7260316
552 | 7260316
553 | 7260316
554 | 2431725
555 | 15114047
556 | 15114047
557 | 15114047
558 | 15114047
559 | 15114047
560 | 22805067
561 | 22805067
563 | 18764509
564 |
568 | 18244602
569 | 18244602
570 | 10400966
617 | 1663538
618 | 10444678
619 | 21281569|10777735|18635251|25279776|7514509
623 | 18635251|15189761|7514509
624 | 7514509|18690032|22020101|21099125
625 | 18635251|15189761
627 | 18635251|15189761
628 | 18635251|15189761
629 | 22020101|21099125|18690032
630 | 18635251|15189761
632 | 18635251|15189761
633 | 18635251|15189761
634 | 22020101|21099125|18690032
635 | 18635251|15189761
639 | 12991237
641 | 9633920
642 | 21637795
643 |
658 |
660 | 10400966
661 | 9633920
662 | 9633920
663 | 9633920
664 | 9633920
665 | 18635251
666 | 18635251
667 | 18635251
756 | 8974733|12991237
757 | 12991237
760 | 18635251
761 | 18635251
762 | 18635251
763 | 18635251|15189761
764 | 21637795
765 | 21637795
766 | 18635251
767 | 18635251
768 | 18635251
769 | 18635251
770 | 18635251
771 | 18635251
772 | 18635251
773 | 18635251
774 | 18635251
775 | 22020101|21099125|18690032
776 | 22020101|21099125|18690032
777 | 22020101|21099125|18690032
779 |
780 | 12991237
781 |
792 | 7260316
793 | 22805067
794 | 21281569|10777735|18635251|7514509
795 |
797 |
799 |
800 |
801 |
802 |
808 | 12991237
809 | 9688927
810 | 9688927|17220183
811 | 9688927|17220183
812 | 9688927|17220183
813 | 9688927|17220183
814 | 7265560
815 |
816 | 21637795|24416228|14656705
817 | 21637795|24416228|14656705
818 | 21637795|24416228|14656705
819 | 16040746
820 | 16040746
821 | 16040746
822 |
823 |
824 | 16040746
825 | 9633920
826 | 9633920
827 | 9633920|21810471
828 | 9633920|21810471
829 | 9633920|21810471
830 | 9633920|21810471
831 | 9633920|21810471
832 | 9633920|7538806|21810471
833 |
835 | 19431309
836 | 12644446
838 |
841 | 9633920|21810471
842 |
843 |
844 | 19431309
845 |
849 | 15103017
850 | 12574468
851 | 12574468
852 |
854 | 15103017
855 | 15103017
856 | 12574468
857 |
858 | 15103017
859 |
860 | 15103017
861 |
863 | 19584944
866 | 19584944
867 | 19584944
868 | 19584944
869 | 19584944
870 | 12574468
871 | 12574468
872 | 12574468
873 | 12574468
874 | 12574468
875 | 12574468
876 | 12574468
877 | 12574468
878 | 12574468
879 | 12574468
880 | 24152110
881 |
796 |
